image,species,role,label,score,n_detections,cluster,lab_l,lab_a,lab_b,hex_color,cluster_size,cluster_frac,mask_pixels,mean_color,median_color
0a5795cff5ee.jpg,images,opisthosoma,opisthosoma,0.9656,1,0,32.556,0.212,4.626,#504C45,6611,0.19849,33306,#43413B,#3B3730
0a5795cff5ee.jpg,images,opisthosoma,opisthosoma,0.9656,1,1,15.856,0.402,4.495,#2B2721,10617,0.31877,33306,#43413B,#3B3730
0a5795cff5ee.jpg,images,opisthosoma,opisthosoma,0.9656,1,2,59.463,-2.13,-2.259,#899093,2129,0.06392,33306,#43413B,#3B3730
0a5795cff5ee.jpg,images,opisthosoma,opisthosoma,0.9656,1,3,22.918,0.321,4.994,#3A362F,10236,0.30733,33306,#43413B,#3B3730
0a5795cff5ee.jpg,images,opisthosoma,opisthosoma,0.9656,1,4,43.004,-0.833,2.922,#666661,3713,0.11148,33306,#43413B,#3B3730
0cb8b75b7c53.jpg,images,opisthosoma,opisthosoma,0.9609,1,0,9.42,0.546,0.509,#1B1A1A,2607,0.20223,12891,#645F5B,#5D5752
0cb8b75b7c53.jpg,images,opisthosoma,opisthosoma,0.9609,1,1,75.56,1.788,2.385,#C0B9B6,2024,0.15701,12891,#645F5B,#5D5752
0cb8b75b7c53.jpg,images,opisthosoma,opisthosoma,0.9609,1,2,40.438,1.399,3.684,#645E59,2818,0.2186,12891,#645F5B,#5D5752
0cb8b75b7c53.jpg,images,opisthosoma,opisthosoma,0.9609,1,3,24.674,1.169,3.525,#3F3A35,2915,0.22613,12891,#645F5B,#5D5752
0cb8b75b7c53.jpg,images,opisthosoma,opisthosoma,0.9609,1,4,57.913,2.396,4.757,#938983,2527,0.19603,12891,#645F5B,#5D5752
3712a49aa7fa.jpg,images,opisthosoma,opisthosoma,0.9709,1,0,35.991,5.271,-8.627,#575262,24148,0.21874,110396,#6D6560,#615E5B
3712a49aa7fa.jpg,images,opisthosoma,opisthosoma,0.9709,1,1,70.125,3.318,-1.251,#B1AAAE,24358,0.22064,110396,#6D6560,#615E5B
3712a49aa7fa.jpg,images,opisthosoma,opisthosoma,0.9709,1,2,80.326,4.873,61.501,#F0C14F,8527,0.07724,110396,#6D6560,#615E5B
3712a49aa7fa.jpg,images,opisthosoma,opisthosoma,0.9709,1,3,45.44,1.314,4.926,#716B63,22389,0.20281,110396,#6D6560,#615E5B
3712a49aa7fa.jpg,images,opisthosoma,opisthosoma,0.9709,1,4,12.237,3.011,-2.082,#231F23,30974,0.28057,110396,#6D6560,#615E5B
